,x,y,z
0,12.556607,-19.556324,8.2694
1,-3.468678,-15.828497,3.222096
2,2.7560568,-19.561619,3.0224028
3,20.744326,-3.5064073,16.862413
4,5.6271777,0.37632155,24.346668
5,14.097714,0.9668173,-6.993833
6,-20.040625,1.8030714,-2.5312116
7,7.828986,-17.957972,-6.0664997
8,7.7110705,-3.746806,22.97577
9,-0.13938391,6.5801096,-22.134228
10,15.127517,19.139587,-17.05965
11,16.753063,-5.4652967,21.443161
12,-0.2485033,20.006948,-0.07727357
13,6.2932773,23.452261,-12.7427635
14,7.2221007,-15.611629,-12.112202
15,0.44120756,-15.943472,-12.86471
16,1.9391614,19.86778,-16.610846
17,15.337205,9.266746,17.302355
18,-1.8745656,-14.480034,1.3667136
19,6.145583,13.084547,5.1706753
20,11.682034,-19.37434,-6.2071176
21,9.08729,9.59416,-1.37587
22,-4.8713627,15.925745,-0.0073285624
23,-11.777287,-17.7656,-5.6351466
24,0.77143013,15.627971,0.48068592
25,12.612184,14.833624,-9.553625
26,9.567744,-11.693585,13.891709
27,18.16814,4.957458,11.07274
28,-0.29547223,22.665794,-0.37025774
29,2.2047513,-12.903953,-9.992677
30,4.6295767,-3.7916315,-28.375196
31,-15.180021,12.013032,11.614434
32,26.045952,5.7396083,16.777584
33,10.345457,-16.320974,-14.5283165
34,-21.119835,6.542522,-1.937101
35,-8.961388,-9.567812,-23.738209
36,8.727151,16.907429,-15.303614
37,10.491364,-10.274454,-10.595165
38,-3.456935,-12.356487,1.4852965
39,2.6104367,15.571538,-16.011702
40,6.274558,-6.6073494,-3.5990155
41,18.791986,-7.717826,-10.425316
42,10.390487,12.964449,-2.459157
43,-5.621943,-20.505756,12.379852
44,-20.737942,2.465109,-2.280124
45,5.5404887,-4.16238,14.932993
46,-20.846483,-6.8960233,-3.2666247
47,-29.274998,7.64651,-1.5257152
48,-27.156086,6.9969096,-2.5160623
49,-10.908872,12.307,8.441747
50,-14.197544,4.181986,16.275377
51,-13.881168,3.9593947,16.396126
52,6.1333137,-18.393192,-1.0072554
53,-3.3559284,15.804663,-9.734878
54,-30.556877,8.024658,-5.5724773
55,-14.295008,12.104419,8.03991
56,-10.74112,12.616452,12.97661
57,-17.33641,-1.1199273,13.211062
58,-23.618366,17.035618,-8.608893
59,-3.0629182,3.7455268,-14.4874
60,-18.56391,10.970479,-8.10514
61,-22.73754,7.1305356,3.399527
62,-17.392405,13.5675535,12.818985
63,-1.4943124,-11.200846,-10.471169
64,-2.9279864,2.376374,1.6612809
65,2.3503008,-13.944928,-1.4943614
66,-14.013918,7.8271313,5.457841
67,-11.792607,1.4368068,19.035345
68,-12.1258,5.697459,1.6593286
69,-16.326317,13.5260725,13.807825
70,-21.924084,15.895073,6.8221025
71,-15.641066,16.121475,0.54031223
72,-34.09826,5.3058395,-10.730257
73,-21.794668,16.651445,-8.544576
74,-6.107437,5.893377,-4.728719
75,-21.600483,7.392798,3.118224
76,-29.110332,5.673755,0.8309091
77,-19.111973,0.96519476,12.783614
78,3.9860828,-16.733912,5.0149393
79,-24.22783,13.538759,-3.0649414
80,-9.467306,11.146949,8.516238
81,8.428904,2.0268712,17.073378
82,-9.179226,-3.779872,1.5823414
83,-26.240793,2.6102931,1.4569696
84,-29.940071,6.8388224,-2.2098315
85,-16.669767,4.506213,4.8670125
86,11.405441,-11.00422,9.018807
87,-3.2336345,5.629631,3.090854
88,-19.684097,1.6877786,16.113947
89,-17.7803,-0.5638413,-1.824031
90,-28.12889,3.4435346,-1.1394179
91,-32.11987,7.172019,-0.04423372
92,-13.89735,6.2245364,10.872576
93,-23.709747,8.453568,-2.9335866
94,-23.942013,2.6005852,0.21681903
95,-14.595408,12.815554,-5.8456907
96,-16.559788,-8.059296,-13.818259
97,-35.14626,4.16306,-10.740527
98,-4.387703,-17.824944,-5.1277375
99,-21.227598,4.6561956,4.642176
100,-26.242014,-6.82306,2.9461827
101,-11.429826,1.1891676,3.6206229
102,-12.294595,11.109843,2.1232817
103,-21.876015,2.631786,-11.27921
104,-12.818167,20.130362,2.0790184
105,-23.414228,10.237837,-4.8258314
106,-26.698288,7.457637,-4.8443522
107,-21.988632,13.252015,-6.7702208
108,-22.914452,7.2400503,-17.33795
109,-26.926237,11.301963,-8.075374
110,0.2553426,-20.843962,-2.0490417
111,-18.033064,12.77194,11.426815
112,-16.39236,8.767506,-0.7365996
