,x,y,z
0,3.9799664,-2.7984695,0.38584983
1,-8.779785,-4.36601,-9.106012
2,5.465012,11.6158085,8.060472
3,1.5365927,-1.078483,-17.51449
4,5.002439,19.352592,-10.210503
5,4.1454396,-6.466307,-1.4208926
6,-19.255823,9.993433,3.0214694
7,9.258007,-13.040209,-15.082579
8,-25.025434,-2.1936207,5.578503
9,10.936244,9.107624,-10.528966
10,1.6622341,8.667149,-5.3620625
11,-3.886881,-6.5179076,-24.471212
12,-0.4890267,-20.546991,17.60304
13,-0.6071371,25.00151,9.151441
14,13.255204,-4.6722727,21.063566
15,0.12343626,-21.826189,-6.343128
16,7.4487963,-5.035457,10.638671
17,-9.149343,6.37066,-2.3279781
18,-4.287019,-17.31032,19.753168
19,-26.046188,-10.495573,-0.047788206
20,-17.171522,0.7147605,1.0159211
21,-17.616255,12.168547,-0.048294794
22,18.598143,-4.548544,3.8830216
23,-3.7855287,-16.108124,9.843659
24,8.761542,19.150782,-8.263191
25,-11.398133,22.202404,-7.358628
26,13.453465,-4.6199865,20.888813
27,0.5706145,-0.05969612,-8.952132
28,-5.874819,-16.110102,19.942963
29,-6.50262,1.6066737,-0.74526757
30,18.452572,4.7376146,11.558401
31,-0.86920506,-13.395053,1.1316198
32,16.742052,-3.335224,17.900995
33,-25.458174,-10.425814,2.7466998
34,8.902734,-15.984605,6.0189815
35,2.992087,9.110981,-19.717999
36,-15.977212,-1.6635938,3.2868326
37,7.7963934,-9.697124,-3.5745585
38,-0.14089827,16.476542,-0.40281048
39,22.102879,-1.3980438,-12.069233
40,-24.711227,6.078447,9.573384
41,5.156476,16.946653,-13.4485855
42,5.305691,-21.70623,14.3092575
43,-6.329123,8.939886,18.97279
44,-11.675262,-10.557946,19.802835
45,20.490894,-8.31326,9.288677
46,-14.901383,1.927361,8.334703
47,-16.74423,10.275717,-12.515647
48,4.7470236,-7.749913,-1.7800816
49,0.045079462,15.750544,-1.8661257
50,6.3983083,-16.747944,4.472232
51,0.5272661,-3.914094,27.40102
52,16.75213,-20.193348,2.4955976
53,-5.7972875,-18.116947,9.936054
54,-13.395121,-11.380702,-15.769274
55,7.391481,-10.988866,17.411446
56,-2.9492826,-15.4849825,10.061806
57,-4.823336,1.6068823,-17.695965
58,15.96914,-10.9546995,-4.80582
59,6.805706,-11.1255865,17.5713
60,-1.583,-20.11928,19.443562
61,20.340708,-5.265578,7.182313
62,5.931444,-11.336853,17.76309
63,-11.281244,-11.373852,19.71303
64,-7.1377697,-25.514898,7.131136
65,-0.056339998,-30.381533,0.6134717
66,-5.1470995,23.098267,-11.068379
67,26.989578,-1.2122463,-3.5164838
68,13.5682,7.7129307,-6.6737466
69,14.874143,-4.145989,19.569305
70,19.390293,-17.304453,6.036536
71,-3.3731003,-15.805224,9.945933
72,-5.9223547,12.058592,5.9561334
73,-5.1051826,-16.676582,19.885191
74,0.4643749,26.536776,4.0575094
75,-16.013855,11.458523,-13.40869
76,10.479055,-7.8387294,13.573282
77,19.500496,-17.177505,6.1728067
78,4.316822,-0.8136914,-0.46277598
79,7.629077,9.388393,-15.779447
80,3.187707,-20.488928,-3.5842798
81,-5.4238353,-28.11989,4.335534
82,-9.433488,-9.040684,1.7583283
83,-17.116898,-2.160945,-9.65202
84,-17.495726,-1.2636935,-0.20444523
85,7.3069615,-20.787264,13.539301
86,-13.66263,-1.1035143,8.3239975
87,4.704814,6.973466,0.456507
88,-15.588148,-2.0763998,5.5912867
89,0.32873583,-3.842912,27.438974
90,-2.9732263,-29.723259,2.0843687
91,-14.761284,0.8154767,10.712376
92,-6.3014436,10.818,18.368052
93,9.379041,-20.410381,13.191121
94,3.0431724,-18.460117,-6.585068
95,-1.7932333,-30.10419,1.4169748
96,-2.3661854,19.549421,13.10084
97,3.877741,9.742708,7.5878477
98,-9.293116,-7.4432254,-9.417827
99,-25.640062,-3.0968359,7.539313
100,14.348521,20.988567,-1.7891822
101,-1.7936138,-19.794237,19.274715
102,7.640486,7.308347,2.7660792
103,10.115585,-8.424817,-15.544202
104,-2.656633,-18.74384,19.146612
105,1.9916471,-9.567467,5.4809313
106,18.550001,-7.0861053,7.9337955
107,-7.88884,-21.302916,9.946081
