,x,y,z
0,-11.054529,0.5264,-3.6118205
1,3.5804946,-0.11404738,-21.683199
2,-0.6173836,2.071161,-23.481377
3,-24.82624,-10.841271,-2.435714
4,-7.2919703,-22.54555,-0.97782695
5,-13.867774,0.95826674,15.172317
6,16.244164,0.74409014,-0.5747279
7,-7.039964,8.453368,-20.104729
8,-10.970079,-17.669117,-3.825703
9,7.481349,17.048449,9.765036
10,-6.480195,29.775177,2.0117319
11,-17.426567,-6.5692325,11.616101
12,-3.193894,2.3290164,22.19251
13,-5.0554557,25.425386,9.469681
14,-4.151468,12.177251,-17.409216
15,-1.4373277,1.3573885,-1.4166015
16,0.09327088,13.085203,21.508976
17,-24.783003,-16.896442,2.2537699
18,0.7770013,-0.119875625,-19.436865
19,-7.447582,-9.4187765,13.928652
20,-11.649835,9.052893,-21.098272
21,-13.2958975,5.9295225,13.813423
22,1.9248202,-22.59333,8.027614
23,5.2717624,5.2305317,-11.011754
24,-3.5232263,5.55788,26.472643
25,-5.151034,23.55999,-2.2864816
26,3.201586,-20.371994,2.8644829
27,-18.775545,-9.416778,7.119641
28,-4.671232,1.5476288,19.847439
29,0.32850602,14.1301985,-16.397522
30,4.8140926,26.541645,8.88589
31,12.854017,-16.667953,15.701558
32,-29.188595,-9.543267,7.3624606
33,-6.19008,5.1056256,2.465197
34,28.828606,-0.8640329,14.38997
35,8.48938,16.015179,-11.052766
36,-5.906446,22.048449,15.208377
37,-9.038108,15.394226,-9.71151
38,4.4857388,-0.07941031,-19.268316
39,0.6631271,16.219423,20.027021
40,-10.576271,1.7090569,-12.476395
41,-17.94065,10.269207,-11.633806
42,-4.5853696,19.621862,0.5579737
43,-2.8972068,-1.6334076,5.970543
44,15.572464,0.6459267,0.024280787
45,-7.9339046,-11.979255,-3.8524854
46,19.564583,-0.9231623,-8.174931
47,23.662529,-1.168858,5.8681827
48,24.26392,-3.2992322,5.9621544
49,9.8218565,-10.978364,12.416277
50,13.271885,-16.916761,6.759637
51,13.320586,-17.090288,6.650804
52,-4.9885154,5.811618,-18.422918
53,6.3539515,9.914429,18.673191
54,29.521805,-4.2107086,6.761849
55,13.094974,-12.592132,15.084762
56,5.99795,-14.883121,12.56096
57,13.4563055,-15.822783,1.3216645
58,21.82132,-10.016493,14.548389
59,7.61309,16.584904,-0.61834055
60,23.668436,2.5592403,11.872597
61,18.101593,-10.138236,7.812652
62,13.433473,-2.9971046,14.205323
63,0.47586834,5.132934,-5.2493925
64,4.072939,0.8358939,3.7504354
65,-1.9442472,3.328936,-16.7696
66,10.78184,-7.5463834,5.799836
67,6.3741574,-20.075274,3.582327
68,14.093573,-4.276219,4.4399695
69,12.349128,-2.9573472,13.737091
70,7.834892,-1.2080994,2.405214
71,5.8375654,1.3655969,4.1661158
72,34.58598,0.68141013,4.39064
73,21.5845,-7.988367,14.358078
74,8.031061,1.1703562,11.014556
75,17.442575,-9.130682,7.5938916
76,22.210081,-4.2608643,2.704491
77,15.852349,-14.8835,2.6597693
78,0.7547136,-3.664145,-16.691753
79,23.637798,-12.2177725,8.536682
80,7.2554197,-10.128543,11.930347
81,-12.062037,-14.589542,2.1113489
82,13.37759,1.4743127,-9.043507
83,23.55202,-8.243939,1.5398203
84,25.521593,-0.6310853,4.638732
85,10.619286,-5.4104285,3.2702084
86,-11.116253,-6.9322433,-4.6117053
87,2.5762448,-3.0835214,4.7182646
88,18.69406,-17.16405,3.7402613
89,18.373014,-4.7325077,-13.884468
90,25.671202,-5.8634224,3.3755589
91,22.1595,-1.1623075,4.043397
92,10.898532,-12.494425,8.943921
93,21.651405,3.3004472,1.8905236
94,26.566154,-7.0678077,5.2500153
95,14.371245,1.1159668,10.927989
96,25.181303,12.52091,-8.707076
97,35.589977,0.27296293,3.3004177
98,5.4915113,7.8455353,-16.72311
99,17.88369,-10.035817,4.6328735
100,22.544176,-9.897982,-7.4045043
101,9.617935,-17.432192,5.9864736
102,11.464145,-3.1433516,9.004316
103,23.292643,5.469992,-0.43807513
104,6.760949,-3.261714,12.203736
105,26.635628,-9.6882,6.4907904
106,26.305998,-3.1150534,7.0975738
107,18.578016,-5.6570506,17.658903
108,23.919054,10.965308,5.662623
109,25.889824,-2.3543746,10.938636
110,-0.8488057,7.7788897,-23.534512
111,14.291271,-3.905302,13.496724
112,17.66162,-3.2691784,7.779399
113,23.686613,2.2962976,11.465653
114,21.757584,2.690472,13.39603
115,10.466086,-15.715995,-1.4917984
116,27.345945,-5.4109187,10.033691
117,9.894404,-14.380755,4.9514728
118,4.381057,16.923567,-4.4008145
119,18.28693,-16.084574,5.861781
120,21.048618,9.999387,-5.197226
121,4.142722,-0.3216993,7.5417976
122,12.005823,19.895878,-4.2249618
123,19.482895,-6.5879607,6.7835045
124,31.977724,7.733289,0.98047256
125,15.921288,-2.2833123,-4.2865453
126,-8.222845,18.879854,11.514681
127,9.162667,19.646631,-0.100835174
128,-2.9246051,20.88959,17.445276
129,-6.994678,7.336635,9.908093
130,-3.3204844,13.730722,-10.166058
131,28.611277,7.996136,-1.1068711
132,21.163073,7.361338,9.749295
133,6.119807,-1.4664437,-17.164656
134,13.672963,-12.496862,12.188723
135,15.592882,-10.333234,8.656156
136,13.360056,12.523749,-6.2203655
137,33.391407,3.7938838,4.879007
138,-17.57516,-14.79966,6.827358
139,-17.649494,16.821293,3.7036972
140,10.085217,-10.528116,-6.0486336
141,4.4665456,-10.145115,-10.400952
142,32.125134,4.897414,-4.3294225
143,26.310669,5.719608,-0.056270618
144,10.952382,3.5997949,-15.059949
145,12.626036,20.35897,-2.4890394
146,24.91579,12.4173975,3.7282956
147,16.542986,17.565298,3.1173325
148,18.716108,18.759583,-1.5666372
149,7.421531,-1.1427691,-15.831454
150,20.070139,4.7566943,2.07568
151,18.065413,-0.7145481,-0.4516571
152,-30.519,-4.270935,-1.1292847
153,11.811107,2.635919,-16.312218
154,4.553921,21.004435,-4.4548492
155,1.2425307,-13.784824,-6.3908067
156,24.236567,4.9192395,0.9091584
157,8.180632,-12.162422,-3.8646674
158,9.596466,-4.875139,-2.0075514
159,13.335161,2.0228846,2.5036302
160,4.543378,6.415319,-15.495426
161,30.425554,2.2064788,5.12498
162,21.745638,1.2154725,-11.556548
163,-1.2403395,0.69968784,7.043674
164,-12.775918,-16.415617,8.746896
165,-22.15227,-6.225795,1.1061878
166,12.01062,-5.690928,-15.715116
167,-0.976721,-6.4097214,2.8265798
168,21.719673,2.830398,-1.0185595
169,17.476797,4.079963,-13.601015
170,4.3124323,9.298509,-15.969425
171,25.192255,-3.391705,5.78513
172,2.8272934,-14.670648,-6.1404686
173,-14.750403,-9.308022,-10.898808
174,9.33749,-12.861265,0.53831536
175,9.635644,-5.006587,-2.1456952
176,34.752617,0.5765438,0.37962824
177,17.4804,4.0819116,-13.621853
178,-19.525162,11.205371,-2.1952198
179,-21.23068,-7.059537,-6.4514136
180,12.323931,-8.452862,-10.9507885
181,-11.644323,9.226517,14.01739
182,4.794428,21.089863,0.2301663
183,18.484594,-2.0159867,2.9922607
184,-4.613847,-18.533995,-15.374574
185,6.556248,26.069584,14.277649
186,-4.8348193,6.1422243,19.571308
187,11.434336,-17.742851,-1.1915543
188,-10.983197,22.599096,0.4871984
189,21.89574,-9.552249,10.736376
190,27.941763,11.579335,-1.117043
191,-29.041328,9.042932,-5.5271425
192,-7.171665,-10.552012,-9.765527
193,27.549906,11.189786,-1.4064475
194,16.756462,16.886005,-4.848433
195,-10.946358,0.69064265,17.871964
196,2.202169,-13.527539,-8.0258255
197,12.009084,14.277976,8.0649185
198,-22.349785,14.72425,0.3394109
199,14.861225,-19.22096,7.062173
200,-7.656716,0.94341487,12.044988
201,-8.315302,7.0607944,-24.268818
202,29.832838,7.4218464,4.437111
203,5.763017,5.3366966,24.56799
204,-11.810667,10.919749,-17.443628
205,-6.9027534,21.795761,-2.3451345
206,-16.60464,10.853711,-5.0965695
207,9.00714,6.8930674,-19.74974
208,32.59599,9.180939,0.11573932
209,-2.894316,20.198261,-1.7756369
210,-23.467907,17.051271,6.2538347
211,4.2750983,9.890504,15.313302
212,23.843826,7.1895304,12.847031
213,-6.4348598,-10.938168,-16.979103
214,5.5008273,16.849846,13.203148
215,17.447666,16.645939,-3.1904917
216,19.241007,3.810265,-1.7644645
217,26.368256,11.313094,5.846097
218,-10.810681,16.092827,16.633001
219,30.557766,2.3753643,4.2232294
220,-12.395263,22.446619,-1.2660896
221,-2.1552992,20.92636,2.6477346
222,0.6711528,13.539652,-17.753153
223,-7.7540464,-2.6109812,-13.478741
224,-13.297732,-4.017629,8.923168
225,-23.506641,16.01857,5.2134924
226,17.731628,10.73037,2.9836075
227,21.071419,3.2400122,7.746725
228,28.204136,12.476705,-8.87135
229,20.672901,-0.38321227,-0.1752573
230,30.536139,-0.85947496,12.248059
231,20.340885,13.023332,-5.017141
232,-18.07481,15.946472,5.611101
233,10.142659,6.247312,19.805702
234,-6.715383,-9.787536,14.128205
235,8.87115,2.0584538,16.550528
236,15.589982,2.8873658,-4.8440423
237,-24.12267,7.977271,8.888492
238,-6.2070255,14.465812,12.381875
239,-7.1180587,25.201336,-1.5954349
240,-8.791457,20.821238,9.798945
241,31.332537,-2.0250168,1.840068
242,-17.523117,0.99402285,-11.550125
243,17.428307,6.4950924,12.142606
244,3.7743576,-1.9596559,1.5690271
245,-5.819786,13.870969,-12.141153
246,9.92645,20.970428,-8.638295
247,-13.492454,10.351653,4.6886563
248,15.714814,15.218862,0.4277485
249,20.356781,16.180286,5.403106
250,15.340654,5.782562,-2.315695
251,17.35875,10.119802,1.4505323
252,13.927642,2.5367522,10.5397415
253,4.6216087,24.446785,3.3115246
254,26.106064,-0.098448366,-8.980838
255,1.9593611,-3.268251,14.448541
256,7.625941,19.07857,-7.4344807
257,-2.6123717,3.6340296,-8.789477
258,-7.799534,14.145376,3.0215306
259,6.8014846,6.91213,23.71968
260,25.688843,3.3244784,2.3991776
261,-12.578789,0.6045718,8.941551
262,2.152238,1.048301,-5.054783
263,-30.996641,0.8303527,-6.741357
264,-27.511189,14.278288,3.8359184
265,-33.50731,7.227225,-4.726002
266,-28.90631,-7.8247895,7.636539
267,25.144125,14.059312,3.8276508
268,11.877013,17.316704,-5.991012
269,23.231678,6.7029,-9.529083
270,-25.302664,9.636217,-5.6851873
271,5.079614,10.182006,16.484953
272,-5.6758857,14.817701,12.781939
273,24.295881,6.7820725,-9.380445
274,-21.734827,-12.714275,3.0800984
275,19.796768,5.0927815,3.428179
276,30.703106,11.912196,3.1421354
277,5.1998515,0.6739965,10.539088
278,15.474361,2.1559207,-4.0402765
279,13.567314,9.519528,-10.986579
280,-9.693107,22.818274,2.9482775
281,2.4761248,5.1416326,1.1395093
282,32.6928,9.95533,-0.57519335
283,-9.486044,3.9387176,-4.6426554
284,27.573387,5.287662,-6.638039
285,-5.6087503,22.330013,8.749347
286,22.702139,7.3714285,3.1507177
287,23.393314,8.334136,-1.8352687
288,11.697386,-13.64139,0.14124152
289,12.524971,9.429304,-23.146023
290,-11.7008505,4.7054486,-15.359057
291,-2.3209157,10.485128,13.174897
292,8.010265,14.041736,0.41430503
293,2.7501264,7.241412,11.367527
294,-17.29348,18.492981,5.138269
295,27.140554,-7.752146,-4.699365
296,24.594444,13.362939,-5.542934
297,32.242455,6.7949204,6.534443
298,-1.1946876,-5.8132977,21.573622
299,3.99361,-5.119488,0.6896206
300,-8.536771,14.887612,-9.675541
301,31.762272,3.244561,4.346849
302,-24.8593,12.362665,0.7229378
303,-8.080962,5.6359196,-5.9937377
304,10.200087,20.225584,13.964518
305,25.772669,11.519263,-7.547309
306,16.842955,-5.6859217,9.426823
307,18.797651,17.666294,4.822539
308,32.461582,-0.5752193,-2.6578064
309,-4.706412,19.36632,0.22516587
310,26.34218,-9.09135,-5.3761883
311,11.195642,17.069319,-5.9278708
312,12.087332,4.6894317,13.1490135
313,19.932144,14.037588,7.699952
314,15.906673,6.1998143,12.026101
315,26.155928,6.717927,-9.79376
316,20.388643,-10.886196,3.6039197
317,7.274306,-1.3460405,14.675972
318,-13.666236,-0.9521752,7.0808535
319,-3.1282349,-2.6698706,-17.734425
320,20.021887,14.078778,7.641972
321,-11.917683,20.330542,1.4036596
322,11.037153,8.729509,9.475183
323,-20.374338,0.3502672,1.4157166
324,15.329954,10.32065,10.003043
325,-10.2010765,22.770655,2.415163
326,2.7546117,10.616929,15.00491
327,14.644719,4.3767705,-17.433893
328,-13.511991,1.4700379,-17.110134
