,x,y,z
0,-2.912118,-25.248173,-3.1482925
1,12.89625,19.0164,-4.3173523
2,-0.54537046,9.659147,-20.509905
3,-12.546172,-3.9893227,-1.3593385
4,-8.138882,-3.656562,-10.963853
5,-2.6333723,-21.106064,-2.0893958
6,18.033308,-12.406937,8.475218
7,-3.2390068,9.922554,-1.5732576
8,17.276503,-7.093922,0.5401178
9,4.5408235,12.831136,17.855055
10,-23.841583,2.3287144,0.56764185
11,18.894632,5.658203,16.04305
12,-10.516486,4.2473426,13.575122
13,1.170492,15.980455,4.2993345
14,-14.383042,-0.56527555,5.2756867
15,5.3029113,-16.944614,17.013401
16,3.129155,2.4059157,27.30601
17,9.452155,-16.201422,1.5172387
18,-8.199004,8.960794,12.018649
19,11.764835,1.5877113,-5.0862627
20,7.6159034,6.3181167,2.3502293
21,15.44865,-15.076823,9.692298
22,-7.1434073,-20.638191,9.504867
23,-18.121195,2.8236082,24.998222
24,-8.863704,-8.663863,-11.2821455
25,6.0437503,-4.6895943,-5.7329884
26,-14.121329,-0.5043223,5.2456756
27,2.845549,13.985296,-9.871856
28,-7.7839146,10.965965,11.956747
29,9.2111435,-21.161024,-3.3828785
30,-4.860138,-4.009681,15.4683895
31,0.6589613,-11.123313,24.085262
32,-10.034414,-1.5047796,6.6150527
33,11.321245,-0.97518927,-3.9367132
34,-10.029546,-13.460531,19.603756
35,3.5340874,21.347149,11.591903
36,9.560917,8.756269,3.8602743
37,-1.9264517,-16.35661,-3.6234767
38,-16.589289,16.238049,0.7061651
39,-11.959004,11.280023,-11.0882845
40,22.515501,-4.628375,5.718286
41,-7.6002693,-2.6727924,-14.669718
42,-13.785098,-1.4012995,16.485382
43,4.5341454,-1.9035345,9.687708
44,-11.376461,17.588627,12.708773
45,-0.29615647,-19.586473,8.368745
46,9.480751,3.0413742,3.9530857
47,-2.7598073,-7.2075934,6.5604873
48,-2.3665442,-19.55629,-1.8774657
49,-16.342566,14.696307,1.2804748
50,-7.1709623,-14.447029,20.132835
51,-22.269749,3.5239208,12.377783
52,-3.3107693,-2.7032826,35.311275
53,-17.353235,5.4356165,23.89225
54,27.983566,-0.021114824,-5.8172235
55,-6.4819927,3.0550044,23.77704
56,-17.945847,1.8417081,25.512562
57,-14.288162,-10.589211,-1.0111322
58,-2.43527,-6.41762,-1.5692291
59,-6.9200273,2.6551151,23.958284
60,-9.491092,5.1961074,11.800197
61,-3.4772224,-21.587193,7.767747
62,-7.565215,2.0635486,24.221485
63,-10.521298,17.250937,12.588046
64,-11.226813,11.439265,22.81199
65,-1.6235039,14.104944,26.29452
66,2.0097287,0.63870704,-9.2288
67,-20.69279,7.7798944,-14.838066
68,5.3404,8.112994,18.730293
69,-12.174225,-0.5111377,5.454911
70,-5.427238,-7.082515,33.040802
71,-18.065075,2.3471224,25.247547
72,2.8604395,-2.9429348,-16.599834
73,-7.9566007,9.9982195,11.977266
74,-2.4112132,19.357706,1.8058743
75,-3.2472045,-8.635957,7.3065157
76,-0.83967084,4.736522,24.69273
77,-5.5101957,-7.2715573,32.93354
78,-3.6074994,-25.93957,-5.14655
79,3.430644,17.736935,14.559118
80,1.9977388,-16.913725,14.232142
81,-7.6411476,13.6559725,23.116228
82,14.206106,7.4796786,-18.133465
83,18.164612,13.969601,0.20133778
84,6.2732544,7.960908,1.2986435
85,-14.280562,-3.6354582,17.23853
86,12.711686,4.48415,4.0779805
87,-23.449429,-4.6976066,1.6304479
88,11.37893,7.5565643,5.0898514
89,-22.276812,3.7329686,12.392542
90,-4.2253585,14.728045,24.291904
91,11.659649,1.6818779,5.146631
92,3.922321,0.07489691,9.745108
93,-15.351221,-5.382668,17.928028
94,4.5307064,-14.595761,13.447415
95,-3.0654013,14.624195,25.061394
96,0.042735774,10.167545,7.802114
97,1.2854187,8.964247,-18.89882
98,11.809023,22.17118,-3.8518631
99,17.798761,-6.449514,-1.5481577
100,-12.274244,-16.167973,-10.359284
101,-9.407191,5.5478225,12.014058
102,-24.286383,-8.579251,1.8331431
103,-6.4031587,6.7249727,0.21088606
104,-8.999066,6.837735,12.3169155
105,6.2687793,-6.9507976,28.300352
106,-2.7415783,-19.01815,7.4922147
107,-15.496102,8.5742655,22.7186
108,16.3688,-14.987719,10.246731
109,-5.3320293,14.600461,23.740677
110,6.8089433,22.300047,8.012615
111,0.014914534,4.411254,25.225416
112,9.088592,-4.2988057,-29.154516
113,5.2991595,0.26554942,28.719742
114,-7.7685933,1.966975,24.16138
115,-7.056115,3.3726645,22.793772
116,-13.0127535,-0.40959024,5.2858286
117,6.5915337,21.750044,9.32796
118,-24.42038,1.4579184,0.31974825
