;name;path;Rgb;Hex;central_point
0;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_21.jpg;[[205, 200, 192], [175, 150, 123], [135, 110,  80], [126, 135, 141], [112, 120, 126], [104,  83,  62], [ 99, 103, 111], [88, 86, 93], [77, 68, 69], [66, 50, 45], [45, 31, 35], [25, 14, 20]];['#cdc8c0', '#af967b', '#876e50', '#7e878d', '#70787e', '#68533e', '#63676f', '#58565d', '#4d4445', '#42322d', '#2d1f23', '#190e14'];[104, 95, 91]
1;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_44.jpg;[[233, 219, 183], [211, 201, 175], [202, 187, 155], [199, 151,  52], [181, 166, 142], [178,  71,  59], [149, 138, 122], [102, 104, 107], [97, 43, 24], [62, 72, 85], [34, 36, 48], [16, 11, 19]];['#e9dbb7', '#d3c9af', '#cabb9b', '#c79734', '#b5a68e', '#b2473b', '#958a7a', '#66686b', '#612b18', '#3e4855', '#222430', '#100b13'];[138, 116, 97]
2;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_27.jpg;[[246, 243, 197], [212, 202, 148], [197, 218, 194], [168, 142, 102], [150, 170, 154], [116,  94,  70], [ 99, 123, 127], [63, 62, 57], [ 61,  82, 100], [34, 52, 81], [25, 38, 60], [15, 23, 40]];['#f6f3c5', '#d4ca94', '#c5dac2', '#a88e66', '#96aa9a', '#745e46', '#637b7f', '#3f3e39', '#3d5264', '#223451', '#19263c', '#0f1728'];[115, 120, 110]
3;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_43.jpg;[[225, 219, 210], [194, 185, 179], [165, 155, 150], [140, 127, 121], [115,  99,  92], [91, 75, 72], [80, 22, 37], [66, 53, 60], [47, 21, 37], [45, 36, 49], [28, 16, 34], [15,  7, 28]];['#e1dbd2', '#c2b9b3', '#a59b96', '#8c7f79', '#73635c', '#5b4b48', '#501625', '#42353c', '#2f1525', '#2d2431', '#1c1022', '#0f071c'];[100, 84, 89]
4;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_35.jpg;[[243, 233, 222], [232, 207, 194], [219, 184, 168], [192, 156, 139], [162, 127, 109], [126, 102,  90], [95, 75, 66], [75, 59, 49], [58, 46, 38], [43, 33, 29], [29, 20, 20], [12,  7, 12]];['#f3e9de', '#e8cfc2', '#dbb8a8', '#c09c8b', '#a27f6d', '#7e665a', '#5f4b42', '#4b3b31', '#3a2e26', '#2b211d', '#1d1414', '#0c070c'];[123, 104, 94]
5;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_33.jpg;[[233, 214, 198], [228, 176,  38], [219, 130,  15], [179, 151, 130], [174, 127,  41], [147,  99,  28], [123, 103,  85], [100,  77,  28], [66, 48, 29], [59, 62, 90], [41, 25, 18], [23, 11,  9]];['#e9d6c6', '#e4b026', '#db820f', '#b39782', '#ae7f29', '#93631c', '#7b6755', '#644d1c', '#42301d', '#3b3e5a', '#291912', '#170b09'];[132, 101, 59]
6;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_37.jpg;[[238, 231, 204], [212, 195, 163], [197, 203, 207], [188, 156,  99], [179, 188, 196], [166, 170, 173], [153, 145, 131], [137, 121,  91], [123, 102,  69], [109,  85,  58], [98, 63, 38], [74, 45, 22]];['#eee7cc', '#d4c3a3', '#c5cbcf', '#bc9c63', '#b3bcc4', '#a6aaad', '#999183', '#89795b', '#7b6645', '#6d553a', '#623f26', '#4a2d16'];[156, 142, 120]
7;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_46.jpg;[[237, 222, 205], [223, 169,  55], [212, 189, 158], [187, 107,  33], [174, 146, 129], [146,  61,  22], [121, 100,  89], [93, 26, 12], [63, 53, 61], [45, 21, 13], [17, 11, 16], [2, 1, 3]];['#eddecd', '#dfa937', '#d4bd9e', '#bb6b21', '#ae9281', '#923d16', '#796459', '#5d1a0c', '#3f353d', '#2d150d', '#110b10', '#020103'];[126, 92, 66]
8;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_17.jpg;[[242, 238, 208], [211, 204, 170], [205, 139,  84], [175, 170, 136], [138, 134, 105], [121, 110,  76], [99, 90, 61], [81, 73, 48], [61, 59, 42], [42, 44, 36], [27, 32, 32], [18, 25, 25]];['#f2eed0', '#d3ccaa', '#cd8b54', '#afaa88', '#8a8669', '#796e4c', '#635a3d', '#514930', '#3d3b2a', '#2a2c24', '#1b2020', '#121919'];[118, 109, 85]
9;Paul Cezanne;https://github.com/diogodoi/DashboardArts/blob/main/images/Paul_Cezanne/Paul_Cezanne_11.jpg;[[230, 179,  22], [229, 226, 199], [218, 191, 109], [190,  99,  15], [157, 133,  58], [156, 193, 184], [134, 165, 136], [130,  76,  19], [102, 122,  93], [95, 92, 48], [65, 57, 30], [25, 28, 21]];['#e6b316', '#e5e2c7', '#dabf6d', '#be630f', '#9d853a', '#9cc1b8', '#86a588', '#824c13', '#667a5d', '#5f5c30', '#41391e', '#191c15'];[144, 130, 77]
